name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Abilene Christian University,Texas,TX,Private,4 Year,10350,34850,45200,34850,45200
Academy of Art University,California,CA,For Profit,4 Year,16648,27810,44458,27810,44458
Adams State University,Colorado,CO,Public,4 Year,8782,9440,18222,20456,29238
Adelphi University,New York,NY,Private,4 Year,16030,38660,54690,38660,54690
Adrian College,Michigan,MI,Private,4 Year,11318,37087,48405,37087,48405
Adventist University of Health Sciences,Florida,FL,Private,4 Year,4200,15150,19350,15150,19350
Agnes Scott College,Georgia,GA,Private,4 Year,12330,41160,53490,41160,53490
Alabama Agricultural and Mechanical University,Alabama,AL,Public,4 Year,8379,9698,18077,17918,26297
Alabama State University,Alabama,AL,Public,4 Year,5422,11068,16490,19396,24818
Alaska Bible College,Alaska,AK,Private,4 Year,5700,9300,15000,9300,15000
Alaska Pacific University,Alaska,AK,Private,4 Year,7300,20830,28130,20830,28130
Albany College of Pharmacy and Health Sciences,New York,NY,Private,4 Year,10920,35105,46025,35105,46025
Albany State University,Georgia,GA,Public,4 Year,8878,6726,15604,19802,28680
Albertus Magnus College,Connecticut,CT,Private,4 Year,13200,32060,45260,32060,45260
Albion College,Michigan,MI,Private,4 Year,12380,45775,58155,45775,58155
Albright College,Pennsylvania,PA,Private,4 Year,12070,45306,57376,45306,57376
Alcorn State University,Mississippi,MS,Public,4 Year,9608,7144,16752,7144,16752
Alderson-Broaddus University,West Virginia,WV,Private,4 Year,8860,27910,36770,27910,36770
Alfred University,New York,NY,Private,4 Year,12516,33484,46000,33484,46000
Allegheny College,Pennsylvania,PA,Private,4 Year,12140,47540,59680,47540,59680
Allegheny Wesleyan College,Ohio,OH,Private,4 Year,4000,6400,10400,6400,10400
Allen College,Iowa,IA,Private,4 Year,7282,19970,27252,19970,27252
Allen University,South Carolina,SC,Private,4 Year,7230,13340,20570,13340,20570
Alma College,Michigan,MI,Private,4 Year,10998,40258,51256,40258,51256
Alverno College,Wisconsin,WI,Private,4 Year,8546,28302,36848,28302,36848
American Baptist College,Tennessee,TN,Private,4 Year,8640,10950,19590,10950,19590
American Indian College of the Assemblies of God,Arizona,AZ,Private,4 Year,6250,958,7208,958,7208
American International College,Massachusetts,MA,Private,4 Year,14300,35680,49980,35680,49980
American Jewish University,California,CA,Private,4 Year,17362,31826,49188,31826,49188
American University,NA,DC,Private,4 Year,14880,48459,63339,48459,63339
Amherst College,Massachusetts,MA,Private,4 Year,14740,56426,71166,56426,71166
Anderson University,South Carolina,SC,Private,4 Year,9830,28000,37830,28000,37830
Anderson University,Indiana,IN,Private,4 Year,9890,30450,40340,30450,40340
Andrews University,Michigan,MI,Private,4 Year,9078,29288,38366,29288,38366
Angelo State University,Texas,TX,Public,4 Year,9130,8489,17619,20939,30069
Anna Maria College,Massachusetts,MA,Private,4 Year,14630,37860,52490,37860,52490
Antioch College,Ohio,OH,Private,4 Year,7640,35718,43358,35718,43358
Appalachian Bible College,West Virginia,WV,Private,4 Year,7960,14720,22680,14720,22680
Appalachian State University,North Carolina,NC,Public,4 Year,8304,7214,15518,22021,30325
Aquinas College,Michigan,MI,Private,4 Year,9332,32574,41906,32574,41906
Arcadia University,Pennsylvania,PA,Private,4 Year,13800,43580,57380,43580,57380
Arizona Christian University,Arizona,AZ,Private,4 Year,10674,26796,37470,26796,37470
Arizona State University,Arizona,AZ,Public,4 Year,12648,10822,23470,28336,40984
Arkansas Baptist College,Arkansas,AR,Private,4 Year,8826,8760,17586,8760,17586
Arkansas State University,Arkansas,AR,Public,4 Year,8160,8608,16768,15298,23458
Arkansas Tech University,Arkansas,AR,Public,4 Year,7870,9068,16938,15848,23718
Arlington Baptist University,Texas,TX,Private,4 Year,6500,13190,19690,13190,19690
Armstrong State University,Georgia,GA,Public,4 Year,11385,6384,17769,19866,31251
Art Academy of Cincinnati,Ohio,OH,Private,4 Year,6700,33889,40589,33889,40589
Art Institute of Houston,Texas,TX,For Profit,4 Year,9600,24024,33624,24024,33624
Art Institute of Phoenix,Arizona,AZ,For Profit,4 Year,10928,21645,32573,21645,32573
Art Institute of Pittsburgh,Pennsylvania,PA,For Profit,4 Year,2758,23376,26134,23376,26134
Asbury University,Kentucky,KY,Private,4 Year,7160,30198,37358,30198,37358
Ashland University,Ohio,OH,Private,4 Year,9941,21342,31283,21342,31283
Assumption College,Massachusetts,MA,Private,4 Year,12694,40958,53652,40958,53652
Auburn University,Alabama,AL,Public,4 Year,13332,11276,24608,30524,43856
Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980,10288,17268,22048,29028
Augsburg University,Minnesota,MN,Private,4 Year,10280,38800,49080,38800,49080
Augusta University,Georgia,GA,Public,4 Year,9640,10758,20398,29796,39436
Augustana College,Illinois,IL,Private,4 Year,10572,42135,52707,42135,52707
Augustana University,South Dakota,SD,Private,4 Year,8248,33018,41266,33018,41266
Aurora University,Illinois,IL,Private,4 Year,11700,24260,35960,24260,35960
Austin College,Texas,TX,Private,4 Year,12527,39985,52512,39985,52512
Austin Peay State University,Tennessee,TN,Public,4 Year,10700,8411,19111,24467,35167
Ave Maria University,Florida,FL,Private,4 Year,11436,20850,32286,20850,32286
Averett University,Virginia,VA,Private,4 Year,9976,34400,44376,34400,44376
Avila University,Missouri,MO,Private,4 Year,7200,19900,27100,19900,27100
Azusa Pacific University,California,CA,Private,4 Year,10076,38880,48956,38880,48956
Babson College,Massachusetts,MA,Private,4 Year,16312,51104,67416,51104,67416
Baker University,Kansas,KS,Private,4 Year,8410,29830,38240,29830,38240
Baldwin Wallace University,Ohio,OH,Private,4 Year,9554,32586,42140,32586,42140
Ball State University,Indiana,IN,Public,4 Year,10234,9896,20130,26468,36702
Baptist Bible College,Missouri,MO,Private,4 Year,7500,14150,21650,14150,21650
Baptist College of Florida,Florida,FL,Private,4 Year,4612,12300,16912,12300,16912
Baptist College of Health Sciences,Tennessee,TN,Private,4 Year,2900,14700,17600,14700,17600
Baptist Missionary Association Theological Seminary,Texas,TX,Private,4 Year,3150,6690,9840,6690,9840
Baptist University of the Americas,Texas,TX,Private,4 Year,2500,7800,10300,7800,10300
Barclay College,Kansas,KS,Private,4 Year,9300,19690,28990,19690,28990
Bard College,New York,NY,Private,4 Year,15488,54680,70168,54680,70168
Bard College at Simon's Rock,Massachusetts,MA,Private,4 Year,14916,55732,70648,55732,70648
Barnard College,New York,NY,Private,4 Year,17225,55032,72257,55032,72257
Barry University,Florida,FL,Private,4 Year,11100,29850,40950,29850,40950
Barton College,North Carolina,NC,Private,4 Year,10120,30880,41000,30880,41000
Bastyr University,Washington,WA,Private,4 Year,7590,26166,33756,26166,33756
Bates College,Maine,ME,Private,4 Year,15224,53794,69018,53794,69018
Bay Path University,Massachusetts,MA,Private,4 Year,12799,34225,47024,34225,47024
Baylor University,Texas,TX,Private,4 Year,12595,45727,58322,45727,58322
Beacon College,Florida,FL,Private,4 Year,11390,39016,50406,39016,50406
Becker College,Massachusetts,MA,Private,4 Year,13800,39200,53000,39200,53000
Beis Medrash Heichal Dovid,New York,NY,Private,4 Year,4500,9500,14000,9500,14000
Belhaven University,Mississippi,MS,Private,4 Year,8500,25300,33800,25300,33800
Bellarmine University,Kentucky,KY,Private,4 Year,12250,42200,54450,42200,54450
Bellevue University,Nebraska,NE,Private,4 Year,8730,9390,18120,9390,18120
Belmont Abbey College,North Carolina,NC,Private,4 Year,10355,18500,28855,18500,28855
Belmont University,Tennessee,TN,Private,4 Year,12120,34310,46430,34310,46430
Beloit College,Wisconsin,WI,Private,4 Year,8830,50040,58870,50040,58870
Bemidji State University,Minnesota,MN,Public,4 Year,8408,8696,17104,8696,17104
Benedict College,South Carolina,SC,Private,4 Year,6200,16600,22800,16600,22800
Benedictine College,Kansas,KS,Private,4 Year,10300,29530,39830,29530,39830
Benedictine University,Illinois,IL,Private,4 Year,9480,34290,43770,34290,43770
Bennett College for Women,North Carolina,NC,Private,4 Year,8114,18513,26627,18513,26627
Bennington College,Vermont,VT,Private,4 Year,15610,54360,69970,54360,69970
Bentley University,Massachusetts,MA,Private,4 Year,16320,49880,66200,49880,66200
Berea College,Kentucky,KY,Private,4 Year,6764,39990,46754,39990,46754
Berklee College of Music,Massachusetts,MA,Private,4 Year,18180,42750,60930,42750,60930
Berry College,Georgia,GA,Private,4 Year,12770,36556,49326,36556,49326
Beth Medrash Govoha,New Jersey,NJ,Private,4 Year,4172,21388,25560,21388,25560
Bethany College,Kansas,KS,Private,4 Year,10605,28475,39080,28475,39080
Bethany College,West Virginia,WV,Private,4 Year,10580,29773,40353,29773,40353
Bethany Lutheran College,Minnesota,MN,Private,4 Year,8100,27650,35750,27650,35750
Bethel College,Indiana,IN,Private,4 Year,9000,28590,37590,28590,37590
Bethel College,Kansas,KS,Private,4 Year,8850,28780,37630,28780,37630
Bethel University,Tennessee,TN,Private,4 Year,9198,16552,25750,16552,25750
Bethel University,Minnesota,MN,Private,4 Year,10520,37300,47820,37300,47820
Bethune-Cookman University,Florida,FL,Private,4 Year,9412,14814,24226,14814,24226
Beulah Heights University,Georgia,GA,Private,4 Year,6000,9880,15880,9880,15880
Biola University,California,CA,Private,4 Year,10730,40488,51218,40488,51218
Birmingham-Southern College,Alabama,AL,Private,4 Year,12350,17650,30000,17650,30000
Black Hills State University,South Dakota,SD,Public,4 Year,6978,8733,15711,11778,18756
Blackburn College,Illinois,IL,Private,4 Year,7930,22410,30340,22410,30340
Bloomfield College,New Jersey,NJ,Private,4 Year,11950,29550,41500,29550,41500
Bloomsburg University of Pennsylvania,Pennsylvania,PA,Public,4 Year,9686,10958,20644,22532,32218
Blue Mountain College,Mississippi,MS,Private,4 Year,6294,12584,18878,12584,18878
Bluefield College,Virginia,VA,Private,4 Year,9024,25290,34314,25290,34314
Bluffton University,Ohio,OH,Private,4 Year,10800,32766,43566,32766,43566
Bob Jones University,South Carolina,SC,Private,4 Year,6976,18150,25126,18150,25126
Boise Bible College,Idaho,ID,Private,4 Year,6200,12520,18720,12520,18720
Boise State University,Idaho,ID,Public,4 Year,10692,7694,18386,23776,34468
Boston Architectural College,Massachusetts,MA,Private,4 Year,13280,21894,35174,21894,35174
Boston Baptist College,Massachusetts,MA,Private,4 Year,7810,12600,20410,12600,20410
Boston College,Massachusetts,MA,Private,4 Year,14478,55464,69942,55464,69942
Boston Conservatory at Berklee,Massachusetts,MA,Private,4 Year,18360,46020,64380,46020,64380
Boston University,Massachusetts,MA,Private,4 Year,15720,53948,69668,53948,69668
Bowdoin College,Maine,ME,Private,4 Year,14698,53922,68620,53922,68620
Bowie State University,Maryland,MD,Public,4 Year,10904,8233,19137,18873,29777
Bowling Green State University,Ohio,OH,Public,4 Year,9168,11105,20273,19093,28261
Bradley University,Illinois,IL,Private,4 Year,10620,33760,44380,33760,44380
Brandeis University,Massachusetts,MA,Private,4 Year,15440,55395,70835,55395,70835
Brenau University,Georgia,GA,Private,4 Year,12418,29050,41468,29050,41468
Brescia University,Kentucky,KY,Private,4 Year,9200,22400,31600,22400,31600
Brevard College,North Carolina,NC,Private,4 Year,9900,29350,39250,29350,39250
Brewton-Parker College,Georgia,GA,Private,4 Year,7850,18690,26540,18690,26540
Briar Cliff University,Iowa,IA,Private,4 Year,9020,31964,40984,31964,40984
Bridgewater College,Virginia,VA,Private,4 Year,12720,35160,47880,35160,47880
Bridgewater State University,Massachusetts,MA,Public,4 Year,13090,10367,23457,16507,29597
Brigham Young University,Utah,UT,Private,4 Year,7628,5620,13248,5620,13248
Brigham Young University-Hawaii,Hawaii,HI,Private,4 Year,6586,5560,12146,5560,12146
Brigham Young University-Idaho,Idaho,ID,Private,4 Year,4592,4118,8710,4118,8710
Brown University,Rhode Island,RI,Private,4 Year,14670,55656,70326,55656,70326
Bryan College: Dayton,Tennessee,TN,Private,4 Year,7500,26800,34300,26800,34300
Bryant University,Rhode Island,RI,Private,4 Year,15702,43973,59675,43973,59675
Bryn Athyn College,Pennsylvania,PA,Private,4 Year,11886,22815,34701,22815,34701
Bryn Mawr College,Pennsylvania,PA,Private,4 Year,16500,52360,68860,52360,68860
Bucknell University,Pennsylvania,PA,Private,4 Year,13662,56092,69754,56092,69754
Buena Vista University,Iowa,IA,Private,4 Year,9538,34004,43542,34004,43542
Butler University,Indiana,IN,Private,4 Year,13830,41120,54950,41120,54950
Cabrini University,Pennsylvania,PA,Private,4 Year,12266,31920,44186,31920,44186
Cairn University,Pennsylvania,PA,Private,4 Year,10294,27279,37573,27279,37573
Caldwell University,New Jersey,NJ,Private,4 Year,12025,34715,46740,34715,46740
California Baptist University,California,CA,Private,4 Year,12160,33478,45638,33478,45638
California Christian College,California,CA,Private,4 Year,4950,9570,14520,9570,14520
California College of the Arts,California,CA,Private,4 Year,10136,49138,59274,49138,59274
California Institute of Technology,California,CA,Private,4 Year,15525,52362,67887,52362,67887
California Institute of the Arts,California,CA,Private,4 Year,12069,49276,61345,49276,61345
California Lutheran University,California,CA,Private,4 Year,13779,42693,56472,42693,56472
California Maritime Academy,California,CA,Public,4 Year,12576,7135,19711,13273,25849
California Polytechnic State University: San Luis Obispo,California,CA,Public,4 Year,13796,9816,23612,21696,35492
California State Polytechnic University: Pomona,California,CA,Public,4 Year,17358,7353,24711,19233,36591
California State University: Bakersfield,California,CA,Public,4 Year,13746,7147,20893,19027,32773
California State University: Channel Islands,California,CA,Public,4 Year,16954,6817,23771,18697,35651
California State University: Chico,California,CA,Public,4 Year,12980,7618,20598,17122,30102
California State University: Dominguez Hills,California,CA,Public,4 Year,12540,6837,19377,18717,31257
California State University: East Bay,California,CA,Public,4 Year,13980,6834,20814,18714,32694
California State University: Fresno,California,CA,Public,4 Year,10587,6585,17172,18465,29052
California State University: Fullerton,California,CA,Public,4 Year,15898,6870,22768,18750,34648
California State University: Long Beach,California,CA,Public,4 Year,13312,6798,20110,18678,31990
California State University: Los Angeles,California,CA,Public,4 Year,13407,6639,20046,18519,31926
California State University: Monterey Bay,California,CA,Public,4 Year,12234,7143,19377,19023,31257
California State University: Northridge,California,CA,Public,4 Year,11122,6888,18010,17622,28744
California State University: Sacramento,California,CA,Public,4 Year,14396,7204,21600,19084,33480
California State University: San Bernardino,California,CA,Public,4 Year,12711,6656,19367,13064,25775
California State University: San Marcos,California,CA,Public,4 Year,13227,7648,20875,19166,32393
California State University: Stanislaus,California,CA,Public,4 Year,10542,7076,17618,20290,30832
California University of Pennsylvania,Pennsylvania,PA,Public,4 Year,10186,11108,21294,14966,25152
Calvary University,Missouri,MO,Private,4 Year,5492,11164,16656,11164,16656
Calvin College,Michigan,MI,Private,4 Year,10200,34600,44800,34600,44800
Cameron University,Oklahoma,OK,Public,4 Year,5452,6450,11902,15870,21322
Campbell University,North Carolina,NC,Private,4 Year,11430,32500,43930,32500,43930
Campbellsville University,Kentucky,KY,Private,4 Year,8000,25400,33400,25400,33400
Canisius College,New York,NY,Private,4 Year,11300,28488,39788,28488,39788
Capital University,Ohio,OH,Private,4 Year,10842,35466,46308,35466,46308
Capitol Technology University,Maryland,MD,Private,4 Year,5708,25428,31136,25428,31136
Cardinal Stritch University,Wisconsin,WI,Private,4 Year,8440,29998,38438,29998,38438
Carleton College,Minnesota,MN,Private,4 Year,14085,54759,68844,54759,68844
Carlow University,Pennsylvania,PA,Private,4 Year,11442,29454,40896,29454,40896
Carnegie Mellon University,Pennsylvania,PA,Private,4 Year,14418,55465,69883,55465,69883
Carroll College,Montana,MT,Private,4 Year,9880,35486,45366,35486,45366
Carroll University,Wisconsin,WI,Private,4 Year,9484,31918,41402,31918,41402
Carson-Newman University,Tennessee,TN,Private,4 Year,8810,27900,36710,27900,36710
Carthage College,Wisconsin,WI,Private,4 Year,11990,43550,55540,43550,55540
Carver College,Georgia,GA,Private,4 Year,6600,13475,20075,13475,20075
Case Western Reserve University,Ohio,OH,Private,4 Year,15190,49042,64232,49042,64232
Castleton University,Vermont,VT,Public,4 Year,10598,12314,22912,28322,38920
Catawba College,North Carolina,NC,Private,4 Year,10488,30520,41008,30520,41008
Catholic University of America,NA,DC,Private,4 Year,14650,45804,60454,45804,60454
Cazenovia College,New York,NY,Private,4 Year,14596,34630,49226,34630,49226
Cedar Crest College,Pennsylvania,PA,Private,4 Year,11544,39216,50760,39216,50760
Cedarville University,Ohio,OH,Private,4 Year,7360,30270,37630,30270,37630
Centenary College of Louisiana,Louisiana,LA,Private,4 Year,13400,36580,49980,36580,49980
Centenary University,New Jersey,NJ,Private,4 Year,11444,32998,44442,32998,44442
Central Baptist College,Arkansas,AR,Private,4 Year,7500,16200,23700,16200,23700
Central Christian College of Kansas,Kansas,KS,Private,4 Year,8286,26674,34960,26674,34960
Central College,Iowa,IA,Private,4 Year,10280,37295,47575,37295,47575
Central Connecticut State University,Connecticut,CT,Public,4 Year,12176,10616,22792,21856,34032
Central Methodist University,Missouri,MO,Private,4 Year,7940,24420,32360,24420,32360
Central Michigan University,Michigan,MI,Public,4 Year,10076,12960,23036,12960,23036
Central Penn College,Pennsylvania,PA,For Profit,4 Year,8094,18714,26808,18714,26808
Central State University,Ohio,OH,Public,4 Year,10232,6346,16578,8346,18578
Central Washington University,Washington,WA,Public,4 Year,11115,8072,19187,23053,34168
Central Yeshiva Tomchei Tmimim-Lubavitch,New York,NY,Private,4 Year,3500,7700,11200,7700,11200
Centre College,Kentucky,KY,Private,4 Year,10480,41700,52180,41700,52180
Chadron State College,Nebraska,NE,Public,4 Year,7380,7196,14576,7196,14576
Chaminade University of Honolulu,Hawaii,HI,Private,4 Year,13630,25374,39004,25374,39004
Champlain College,Vermont,VT,Private,4 Year,15354,41010,56364,41010,56364
Chapman University,California,CA,Private,4 Year,15828,52724,68552,52724,68552
Charleston Southern University,South Carolina,SC,Private,4 Year,10200,25500,35700,25500,35700
Chatham University,Pennsylvania,PA,Private,4 Year,12090,37611,49701,37611,49701
Chestnut Hill College,Pennsylvania,PA,Private,4 Year,11000,36180,47180,36180,47180
Cheyney University of Pennsylvania,Pennsylvania,PA,Public,4 Year,11018,9479,20497,14495,25513
Chicago State University,Illinois,IL,Public,4 Year,8724,12177,20901,20877,29601
Chowan University,North Carolina,NC,Private,4 Year,9400,24980,34380,24980,34380
Christendom College,Virginia,VA,Private,4 Year,10280,26360,36640,26360,36640
Christian Brothers University,Tennessee,TN,Private,4 Year,7400,32820,40220,32820,40220
Christopher Newport University,Virginia,VA,Public,4 Year,11460,14754,26214,27220,38680
Cincinnati Christian University,Ohio,OH,Private,4 Year,8360,17528,25888,17528,25888
City University of New York: Baruch College,New York,NY,Public,4 Year,15178,7261,22439,18531,33709
City University of New York: City College,New York,NY,Public,4 Year,18124,7140,25264,18410,36534
City University of New York: College of Staten Island,New York,NY,Public,4 Year,18265,7289,25554,18559,36824
City University of New York: Hunter College,New York,NY,Public,4 Year,9714,7180,16894,18450,28164
City University of New York: John Jay College of Criminal Justice,New York,NY,Public,4 Year,17750,7270,25020,18540,36290
City University of New York: Lehman College,New York,NY,Public,4 Year,11820,7209,19029,18479,30299
City University of New York: Queens College,New York,NY,Public,4 Year,12380,7338,19718,18608,30988
Claflin University,South Carolina,SC,Private,4 Year,9294,16622,25916,16622,25916
Claremont McKenna College,California,CA,Private,4 Year,16705,54405,71110,54405,71110
Clarion University of Pennsylvania,Pennsylvania,PA,Public,4 Year,12670,11175,23845,15033,27703
Clark Atlanta University,Georgia,GA,Private,4 Year,9524,23436,32960,23436,32960
Clark University,Massachusetts,MA,Private,4 Year,9170,45730,54900,45730,54900
Clarke University,Iowa,IA,Private,4 Year,9600,33350,42950,33350,42950
Clarks Summit University,Pennsylvania,PA,Private,4 Year,6320,23890,30210,23890,30210
Clarkson College,Nebraska,NE,Private,4 Year,5398,16920,22318,16920,22318
Clarkson University,New York,NY,Private,4 Year,14908,49444,64352,49444,64352
Clayton State University,Georgia,GA,Public,4 Year,9994,6410,16404,19486,29480
Clear Creek Baptist Bible College,Kentucky,KY,Private,4 Year,4160,9440,13600,9440,13600
Cleary University,Michigan,MI,Private,4 Year,9600,20250,29850,20250,29850
Clemson University,South Carolina,SC,Public,4 Year,10832,14970,25802,36724,47556
Cleveland Institute of Art,Ohio,OH,Private,4 Year,14386,42055,56441,42055,56441
Cleveland Institute of Music,Ohio,OH,Private,4 Year,15048,41987,57035,41987,57035
Cleveland State University,Ohio,OH,Public,4 Year,13560,10625,24185,14992,28552
Coastal Carolina University,South Carolina,SC,Public,4 Year,9190,11536,20726,26648,35838
Coe College,Iowa,IA,Private,4 Year,9480,45000,54480,45000,54480
Cogswell Polytechnical College,California,CA,For Profit,4 Year,11000,20056,31056,20056,31056
Coker College,South Carolina,SC,Private,4 Year,9090,29328,38418,29328,38418
Colby College,Maine,ME,Private,4 Year,14190,55210,69400,55210,69400
Colby-Sawyer College,New Hampshire,NH,Private,4 Year,14264,42398,56662,42398,56662
Colgate University,New York,NY,Private,4 Year,13995,55870,69865,55870,69865
College for Creative Studies,Michigan,MI,Private,4 Year,8800,44110,52910,44110,52910
College of Charleston,South Carolina,SC,Public,4 Year,12166,12738,24904,31920,44086
College of Coastal Georgia,Georgia,GA,Public,4 Year,9520,3971,13491,10578,20098
College of Idaho,Idaho,ID,Private,4 Year,9697,30155,39852,30155,39852
College of Mount St. Vincent,New York,NY,Private,4 Year,10500,38180,48680,38180,48680
College of New Rochelle,New York,NY,Private,4 Year,14592,37760,52352,37760,52352
College of Saint Mary,Nebraska,NE,Private,4 Year,7700,20350,28050,20350,28050
College of Saint Rose,New York,NY,Private,4 Year,12714,32574,45288,32574,45288
College of St. Benedict,Minnesota,MN,Private,4 Year,10904,45264,56168,45264,56168
College of St. Elizabeth,New Jersey,NJ,Private,4 Year,12744,33613,46357,33613,46357
College of St. Joseph in Vermont,Vermont,VT,Private,4 Year,12000,18520,30520,18520,30520
College of St. Scholastica,Minnesota,MN,Private,4 Year,9710,37212,46922,37212,46922
College of the Atlantic,Maine,ME,Private,4 Year,9747,43542,53289,43542,53289
College of the Holy Cross,Massachusetts,MA,Private,4 Year,14520,52770,67290,52770,67290
College of the Ozarks,Missouri,MO,Private,4 Year,7400,19360,26760,19360,26760
College of William and Mary,Virginia,VA,Public,4 Year,12236,23400,35636,44701,56937
College of Wooster,Ohio,OH,Private,4 Year,11850,50250,62100,50250,62100
Colorado Christian University,Colorado,CO,Private,4 Year,11846,31866,43712,31866,43712
Colorado College,Colorado,CO,Private,4 Year,12512,55470,67982,55470,67982
Colorado Mesa University,Colorado,CO,Public,4 Year,10925,9243,20168,22440,33365
Colorado School of Mines,Colorado,CO,Public,4 Year,13169,18964,32133,38584,51753
Colorado State University,Colorado,CO,Public,4 Year,11964,11831,23795,29732,41696
Colorado State University: Pueblo,Colorado,CO,Public,4 Year,10470,10408,20878,26329,36799
Columbia College,South Carolina,SC,Private,4 Year,7900,19500,27400,19500,27400
Columbia College,Missouri,MO,Private,4 Year,7808,22704,30512,22704,30512
Columbia College Chicago,Illinois,IL,Private,4 Year,14012,27176,41188,27176,41188
Columbia International University,South Carolina,SC,Private,4 Year,8150,23690,31840,23690,31840
Columbia University,New York,NY,Private,4 Year,14016,59985,74001,59985,74001
Columbia University: School of General Studies,New York,NY,Private,4 Year,14190,57549,71739,57549,71739
Columbus College of Art and Design,Ohio,OH,Private,4 Year,9570,36020,45590,36020,45590
Columbus State University,Georgia,GA,Public,4 Year,9880,7200,17080,20682,30562
Conception Seminary College,Missouri,MO,Private,4 Year,13321,21526,34847,21526,34847
Concord University,West Virginia,WV,Public,4 Year,8988,7896,16884,17320,26308
Concordia College,New York,NY,Private,4 Year,12690,32900,45590,32900,45590
Concordia College,Alabama,AL,Private,4 Year,5700,10120,15820,10120,15820
Concordia College: Moorhead,Minnesota,MN,Private,4 Year,8230,39878,48108,39878,48108
Concordia University,Michigan,MI,Private,4 Year,10310,29320,39630,29320,39630
Concordia University,Oregon,OR,Private,4 Year,9520,30908,40428,30908,40428
Concordia University,Nebraska,NE,Private,4 Year,8470,32220,40690,32220,40690
Concordia University Chicago,Illinois,IL,Private,4 Year,9748,32078,41826,32078,41826
Concordia University Irvine,California,CA,Private,4 Year,11300,35400,46700,35400,46700
Concordia University St. Paul,Minnesota,MN,Private,4 Year,9000,22275,31275,22275,31275
Concordia University Texas,Texas,TX,Private,4 Year,11018,31810,42828,31810,42828
Concordia University Wisconsin,Wisconsin,WI,Private,4 Year,10860,29450,40310,29450,40310
Connecticut College,Connecticut,CT,Private,4 Year,15150,54820,69970,54820,69970
Converse College,South Carolina,SC,Private,4 Year,10930,18690,29620,18690,29620
Cooper Union for the Advancement of Science and Art,New York,NY,Private,4 Year,16638,46700,63338,46700,63338
Coppin State University,Maryland,MD,Public,4 Year,10390,6625,17015,12896,23286
Corban University,Oregon,OR,Private,4 Year,10228,33040,43268,33040,43268
Cornell College,Iowa,IA,Private,4 Year,9384,42299,51683,42299,51683
Cornell University,New York,NY,Private,4 Year,14816,55188,70004,55188,70004
Cornerstone University,Michigan,MI,Private,4 Year,9300,24500,33800,24500,33800
Cornish College of the Arts,Washington,WA,Private,4 Year,12400,41642,54042,41642,54042
Cottey College,Missouri,MO,Private,4 Year,7700,21150,28850,21150,28850
Covenant College,Georgia,GA,Private,4 Year,10260,34330,44590,34330,44590
Creighton University,Nebraska,NE,Private,4 Year,11036,39916,50952,39916,50952
Crown College,Minnesota,MN,Private,4 Year,8660,26200,34860,26200,34860
Culinary Institute of America,New York,NY,Private,4 Year,11560,32720,44280,32720,44280
Culver-Stockton College,Missouri,MO,Private,4 Year,8520,26680,35200,26680,35200
Cumberland University,Tennessee,TN,Private,4 Year,9290,22890,32180,22890,32180
Curry College,Massachusetts,MA,Private,4 Year,15885,39720,55605,39720,55605
D'Youville College,New York,NY,Private,4 Year,12224,26750,38974,26750,38974
Daemen College,New York,NY,Private,4 Year,12915,28580,41495,28580,41495
Dakota State University,South Dakota,SD,Public,4 Year,6873,9276,16149,12249,19122
Dakota Wesleyan University,South Dakota,SD,Private,4 Year,7350,27300,34650,27300,34650
Dallas Baptist University,Texas,TX,Private,4 Year,7992,28870,36862,28870,36862
Dallas Christian College,Texas,TX,Private,4 Year,9010,17620,26630,17620,26630
Dalton State College,Georgia,GA,Public,4 Year,8950,4246,13196,12668,21618
Dartmouth College,New Hampshire,NH,Private,4 Year,15756,55453,71209,55453,71209
Davenport University,Michigan,MI,Private,4 Year,9928,22800,32728,22800,32728
Davidson College,North Carolina,NC,Private,4 Year,14372,51447,65819,51447,65819
Davis and Elkins College,West Virginia,WV,Private,4 Year,9450,29390,38840,29390,38840
Davis College,New York,NY,Private,4 Year,8100,17150,25250,17150,25250
Defiance College,Ohio,OH,Private,4 Year,10220,32730,42950,32730,42950
Delaware State University,Delaware,DE,Public,4 Year,12190,7868,20058,16904,29094
Delaware Valley University,Pennsylvania,PA,Private,4 Year,14340,39440,53780,39440,53780
Delta State University,Mississippi,MS,Public,4 Year,7722,7246,14968,7246,14968
Denison University,Ohio,OH,Private,4 Year,12710,51960,64670,51960,64670
DePaul University,Illinois,IL,Private,4 Year,14235,39975,54210,39975,54210
DePauw University,Indiana,IN,Private,4 Year,13020,49704,62724,49704,62724
DeSales University,Pennsylvania,PA,Private,4 Year,12800,37600,50400,37600,50400
Dickinson College,Pennsylvania,PA,Private,4 Year,13698,54661,68359,54661,68359
Dickinson State University,North Dakota,ND,Public,4 Year,6898,6765,13663,9544,16442
Dillard University,Louisiana,LA,Private,4 Year,10100,18099,28199,18099,28199
Divine Word College,Iowa,IA,Private,4 Year,3700,13485,17185,13485,17185
Dixie State University,Utah,UT,Public,4 Year,6328,5253,11581,15051,21379
Doane University,Nebraska,NE,Private,4 Year,9400,33800,43200,33800,43200
Dominican College of Blauvelt,New York,NY,Private,4 Year,13150,29000,42150,29000,42150
